id,year,stint,team,lg,g,ab,r,h,X2b,X3b,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,gidp,batting_average
nelsoca01,1878,1,IN1,NL,19,84,12,11,1,0,0,5.0,0.0,0.0,5,11.0,0.0,0.0,0.0,0.0,0.0,0.13095238095238096
orourji01,1878,1,BSN,NL,60,255,44,71,17,7,1,29.0,0.0,0.0,5,21.0,0.0,0.0,0.0,0.0,0.0,0.2784313725490196
shaffor01,1878,1,IN1,NL,63,266,48,90,19,6,0,30.0,0.0,0.0,13,20.0,0.0,0.0,0.0,0.0,0.0,0.3383458646616541
snydepo01,1878,1,BSN,NL,60,226,21,48,5,0,0,14.0,0.0,0.0,1,19.0,0.0,0.0,0.0,0.0,0.0,0.21238938053097345
startjo01,1878,1,CHN,NL,61,285,58,100,12,5,1,27.0,0.0,0.0,2,3.0,0.0,0.0,0.0,0.0,0.0,0.3508771929824561
suttoez01,1878,1,BSN,NL,60,239,31,54,9,3,1,29.0,0.0,0.0,2,14.0,0.0,0.0,0.0,0.0,0.0,0.22594142259414227
wardjo01,1878,1,PRO,NL,37,138,14,27,5,4,1,15.0,0.0,0.0,2,13.0,0.0,0.0,0.0,0.0,0.0,0.1956521739130435
whitede01,1878,1,CN1,NL,61,258,41,81,4,1,0,29.0,0.0,0.0,10,5.0,0.0,0.0,0.0,0.0,0.0,0.313953488372093
yorkto01,1878,1,PRO,NL,62,269,56,83,19,10,1,26.0,0.0,0.0,8,19.0,0.0,0.0,0.0,0.0,0.0,0.30855018587360594
ansonca01,1879,1,CHN,NL,51,227,40,72,20,1,0,34.0,0.0,0.0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.31718061674008813
broutda01,1879,1,TRN,NL,39,168,17,46,12,1,4,17.0,0.0,0.0,1,18.0,0.0,0.0,0.0,0.0,0.0,0.27380952380952384
burdoja01,1879,1,BSN,NL,84,359,64,86,10,3,0,36.0,0.0,0.0,9,28.0,0.0,0.0,0.0,0.0,0.0,0.2395543175487465
forceda01,1879,1,BFN,NL,79,316,36,66,5,2,0,8.0,0.0,0.0,13,37.0,0.0,0.0,0.0,0.0,0.0,0.2088607594936709
galvipu01,1879,1,BFN,NL,67,265,34,66,11,6,0,27.0,0.0,0.0,1,56.0,0.0,0.0,0.0,0.0,0.0,0.2490566037735849
gerhajo01,1879,1,CN1,NL,79,313,22,62,12,3,1,39.0,0.0,0.0,3,19.0,0.0,0.0,0.0,0.0,0.0,0.19808306709265175
glassja01,1879,1,CL2,NL,80,325,31,68,9,3,0,29.0,0.0,0.0,6,24.0,0.0,0.0,0.0,0.0,0.0,0.20923076923076922
gorege01,1879,1,CHN,NL,63,266,43,70,17,4,0,32.0,0.0,0.0,8,30.0,0.0,0.0,0.0,0.0,0.0,0.2631578947368421
hinespa01,1879,1,PRO,NL,85,409,81,146,25,10,2,52.0,0.0,0.0,8,16.0,0.0,0.0,0.0,0.0,0.0,0.3569682151589242
jonesch01,1879,1,BSN,NL,83,355,85,112,22,10,9,62.0,0.0,0.0,29,38.0,0.0,0.0,0.0,0.0,0.0,0.3154929577464789
kellyki01,1879,1,CN1,NL,77,345,78,120,20,12,2,47.0,0.0,0.0,8,14.0,0.0,0.0,0.0,0.0,0.0,0.34782608695652173
mathebo01,1879,1,PRO,NL,43,173,25,35,2,0,1,10.0,0.0,0.0,7,12.0,0.0,0.0,0.0,0.0,0.0,0.2023121387283237
morrijo01,1879,1,BSN,NL,84,348,56,98,18,5,0,49.0,0.0,0.0,14,32.0,0.0,0.0,0.0,0.0,0.0,0.28160919540229884
nelsoca01,1879,1,TRN,NL,28,106,17,28,7,1,0,10.0,0.0,0.0,8,4.0,0.0,0.0,0.0,0.0,0.0,0.2641509433962264
orourji01,1879,1,PRO,NL,81,362,69,126,19,9,1,46.0,0.0,0.0,13,10.0,0.0,0.0,0.0,0.0,0.0,0.34806629834254144
purcebl01,1879,1,SR1,NL,63,277,32,72,6,3,0,25.0,0.0,0.0,3,13.0,0.0,0.0,0.0,0.0,0.0,0.259927797833935
purcebl01,1879,2,CN1,NL,12,50,10,11,0,0,0,4.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.22
richaha01,1879,1,BFN,NL,79,336,54,95,18,10,0,37.0,0.0,0.0,16,30.0,0.0,0.0,0.0,0.0,0.0,0.28273809523809523
shaffor01,1879,1,CHN,NL,73,316,53,96,13,0,0,35.0,0.0,0.0,6,28.0,0.0,0.0,0.0,0.0,0.0,0.3037974683544304
snydepo01,1879,1,BSN,NL,81,329,42,78,16,3,2,35.0,0.0,0.0,5,31.0,0.0,0.0,0.0,0.0,0.0,0.23708206686930092
startjo01,1879,1,PRO,NL,66,317,70,101,11,5,2,37.0,0.0,0.0,7,4.0,0.0,0.0,0.0,0.0,0.0,0.3186119873817035
suttoez01,1879,1,BSN,NL,84,339,54,84,13,4,0,34.0,0.0,0.0,2,18.0,0.0,0.0,0.0,0.0,0.0,0.24778761061946902
wardjo01,1879,1,PRO,NL,83,364,71,104,9,4,2,41.0,0.0,0.0,7,14.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857
whitede01,1879,1,CN1,NL,78,333,55,110,16,6,1,52.0,0.0,0.0,6,9.0,0.0,0.0,0.0,0.0,0.0,0.3303303303303303
yorkto01,1879,1,PRO,NL,81,342,69,106,25,5,1,50.0,0.0,0.0,19,28.0,0.0,0.0,0.0,0.0,0.0,0.30994152046783624
ansonca01,1880,1,CHN,NL,86,356,54,120,24,1,1,74.0,0.0,0.0,14,12.0,0.0,0.0,0.0,0.0,0.0,0.33707865168539325
bennech01,1880,1,WOR,NL,51,193,20,44,9,3,0,18.0,0.0,0.0,10,30.0,0.0,0.0,0.0,0.0,0.0,0.22797927461139897
broutda01,1880,1,TRN,NL,3,12,0,2,0,0,0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666
burdoja01,1880,1,BSN,NL,86,356,58,90,17,4,2,35.0,0.0,0.0,8,26.0,0.0,0.0,0.0,0.0,0.0,0.25280898876404495
connoro01,1880,1,TRN,NL,83,340,53,113,18,8,3,47.0,0.0,0.0,13,21.0,0.0,0.0,0.0,0.0,0.0,0.3323529411764706
ewingbu01,1880,1,TRN,NL,13,45,1,8,1,0,0,5.0,0.0,0.0,1,3.0,0.0,0.0,0.0,0.0,0.0,0.17777777777777778
forceda01,1880,1,BFN,NL,81,290,22,49,10,0,0,17.0,0.0,0.0,10,35.0,0.0,0.0,0.0,0.0,0.0,0.16896551724137931
galvipu01,1880,1,BFN,NL,66,241,25,51,9,2,0,12.0,0.0,0.0,5,57.0,0.0,0.0,0.0,0.0,0.0,0.21161825726141079
glassja01,1880,1,CL2,NL,77,296,37,72,13,3,0,27.0,0.0,0.0,2,21.0,0.0,0.0,0.0,0.0,0.0,0.24324324324324326
gorege01,1880,1,CHN,NL,77,322,70,116,23,2,2,47.0,0.0,0.0,21,10.0,0.0,0.0,0.0,0.0,0.0,0.36024844720496896
hinespa01,1880,1,PRO,NL,85,374,64,115,20,2,3,35.0,0.0,0.0,13,17.0,0.0,0.0,0.0,0.0,0.0,0.3074866310160428
jonesch01,1880,1,BSN,NL,66,280,44,84,15,3,5,37.0,0.0,0.0,11,27.0,0.0,0.0,0.0,0.0,0.0,0.3
keefeti01,1880,1,TRN,NL,12,43,4,10,3,0,0,3.0,0.0,0.0,1,12.0,0.0,0.0,0.0,0.0,0.0,0.23255813953488372
kellyki01,1880,1,CHN,NL,84,344,72,100,17,9,1,60.0,0.0,0.0,12,22.0,0.0,0.0,0.0,0.0,0.0,0.29069767441860467
lathaar01,1880,1,BFN,NL,22,79,9,10,3,1,0,3.0,0.0,0.0,1,8.0,0.0,0.0,0.0,0.0,0.0,0.12658227848101267
morrijo01,1880,1,BSN,NL,86,342,51,81,16,8,2,44.0,0.0,0.0,11,37.0,0.0,0.0,0.0,0.0,0.0,0.23684210526315788
orourji01,1880,1,BSN,NL,86,363,71,100,20,11,6,45.0,0.0,0.0,21,8.0,0.0,0.0,0.0,0.0,0.0,0.27548209366391185
purcebl01,1880,1,CN1,NL,77,325,48,95,13,6,1,24.0,0.0,0.0,5,13.0,0.0,0.0,0.0,0.0,0.0,0.2923076923076923
richaha01,1880,1,BFN,NL,83,343,48,89,18,8,0,17.0,0.0,0.0,14,37.0,0.0,0.0,0.0,0.0,0.0,0.2594752186588921
shaffor01,1880,1,CL2,NL,83,338,62,90,14,9,0,21.0,0.0,0.0,17,36.0,0.0,0.0,0.0,0.0,0.0,0.26627218934911245
smithpo01,1880,1,CN1,NL,83,334,35,69,10,9,0,27.0,0.0,0.0,6,36.0,0.0,0.0,0.0,0.0,0.0,0.20658682634730538
startjo01,1880,1,PRO,NL,82,345,53,96,14,6,0,27.0,0.0,0.0,13,20.0,0.0,0.0,0.0,0.0,0.0,0.2782608695652174
stoveha01,1880,1,WOR,NL,83,355,76,94,21,14,6,28.0,0.0,0.0,12,46.0,0.0,0.0,0.0,0.0,0.0,0.2647887323943662
suttoez01,1880,1,BSN,NL,76,288,41,72,9,2,0,25.0,0.0,0.0,7,7.0,0.0,0.0,0.0,0.0,0.0,0.25
wardjo01,1880,1,PRO,NL,86,356,53,81,12,2,0,27.0,0.0,0.0,6,16.0,0.0,0.0,0.0,0.0,0.0,0.22752808988764045
whitede01,1880,1,CN1,NL,35,141,21,42,4,2,0,7.0,0.0,0.0,9,7.0,0.0,0.0,0.0,0.0,0.0,0.2978723404255319
woodge01,1880,1,WOR,NL,81,327,37,80,16,5,0,28.0,0.0,0.0,10,37.0,0.0,0.0,0.0,0.0,0.0,0.24464831804281345
yorkto01,1880,1,PRO,NL,53,203,21,43,9,2,0,18.0,0.0,0.0,8,29.0,0.0,0.0,0.0,0.0,0.0,0.21182266009852216
ansonca01,1881,1,CHN,NL,84,343,67,137,21,7,1,82.0,0.0,0.0,26,4.0,0.0,0.0,0.0,0.0,0.0,0.39941690962099125
bennech01,1881,1,DTN,NL,76,299,44,90,18,7,7,64.0,0.0,0.0,18,37.0,0.0,0.0,0.0,0.0,0.0,0.3010033444816054
broutda01,1881,1,BFN,NL,65,270,60,86,18,9,8,45.0,0.0,0.0,18,22.0,0.0,0.0,0.0,0.0,0.0,0.31851851851851853
burdoja01,1881,1,BSN,NL,73,282,36,67,12,4,1,24.0,0.0,0.0,7,18.0,0.0,0.0,0.0,0.0,0.0,0.2375886524822695
connoro01,1881,1,TRN,NL,85,367,55,107,17,6,2,31.0,0.0,0.0,15,20.0,0.0,0.0,0.0,0.0,0.0,0.29155313351498635
dennyje01,1881,1,PRO,NL,85,320,38,77,16,2,1,24.0,0.0,0.0,5,44.0,0.0,0.0,0.0,0.0,0.0,0.240625
ewingbu01,1881,1,TRN,NL,67,272,40,68,14,7,0,25.0,0.0,0.0,7,8.0,0.0,0.0,0.0,0.0,0.0,0.25
forceda01,1881,1,BFN,NL,75,278,21,50,9,1,0,15.0,0.0,0.0,11,29.0,0.0,0.0,0.0,0.0,0.0,0.17985611510791366
galvipu01,1881,1,BFN,NL,62,236,19,50,12,4,0,21.0,0.0,0.0,3,70.0,0.0,0.0,0.0,0.0,0.0,0.211864406779661
gerhajo01,1881,1,DTN,NL,80,297,35,72,13,6,0,36.0,0.0,0.0,7,31.0,0.0,0.0,0.0,0.0,0.0,0.24242424242424243
